,Temp_1_1,Temp_1_2,Temp_1_3,Temp_1_4,Temp_2_1,Temp_2_2,Temp_2_3,Temp_2_4,Temp_12_avg_open,Temp_12_avg_close,Temp_3_1,Temp_3_2,Temp_3_3,Temp_3_4,Temp_4_1,Temp_4_2,Temp_4_3,Temp_4_4,Temp_34_avg_open,Temp_34_avg_close
07/23/2019 10:33,26.063,27.0,26.063,27.0,26.937,27.062,26.437,26.75,26.5,26.875,25.187,26.125,25.062,26.0,25.062,26.688,25.062,26.063,25.1245,26.0315
07/23/2019 10:37,26.875,27.062,26.688,27.062,27.062,27.187,26.875,27.187,26.9685,27.1245,25.75,26.312,25.75,26.312,25.562,26.625,25.562,26.625,25.656,26.4685
07/23/2019 10:41,27.062,27.062,26.125,26.812,27.25,27.25,26.875,27.0,27.156,26.906,25.687,25.937,25.062,25.937,26.437,26.437,24.75,25.438,26.062,25.6875
07/23/2019 10:45,27.0,27.125,26.812,26.812,26.5,27.313,26.5,27.062,26.75,26.937,25.687,25.937,25.062,25.937,26.437,26.437,24.75,25.438,26.062,25.6875
07/23/2019 10:46,27.0,27.125,26.812,26.812,26.5,27.313,26.5,27.062,26.75,26.937,26.25,26.25,25.25,25.25,26.562,26.688,24.875,24.875,26.406,25.0625
07/23/2019 10:49,26.625,26.937,26.063,26.937,26.25,27.125,26.25,26.688,26.4375,26.8125,26.25,26.25,25.25,25.25,26.562,26.688,24.875,24.875,26.406,25.0625
07/23/2019 10:50,26.625,26.937,26.063,26.937,26.25,27.125,26.25,26.688,26.4375,26.8125,25.562,26.187,25.562,26.187,25.187,26.688,25.187,26.688,25.3745,26.4375
07/23/2019 10:54,26.875,26.875,26.562,26.625,27.25,27.25,26.5,27.062,27.0625,26.8435,26.125,26.125,25.562,25.812,26.063,26.063,24.625,25.875,26.094,25.8435
07/23/2019 10:58,26.25,26.812,26.25,26.562,27.187,27.375,27.0,27.0,26.7185,26.781,26.125,26.312,25.125,25.125,26.5,26.5,25.438,25.438,26.3125,25.2815
07/23/2019 11:02,26.5,27.0,26.5,27.0,27.0,27.313,26.562,27.313,26.75,27.1565,25.625,26.25,25.25,26.25,25.375,26.437,25.375,26.437,25.5,26.3435
07/23/2019 11:06,26.75,26.75,25.937,26.25,26.625,27.125,26.625,27.125,26.6875,26.6875,25.937,26.25,25.625,26.25,25.687,26.625,25.312,26.625,25.812,26.4375
07/23/2019 11:10,26.937,26.937,26.5,26.5,27.313,27.313,27.062,27.125,27.125,26.8125,25.812,26.25,25.812,25.812,26.688,26.688,25.438,25.812,26.25,25.812
07/23/2019 11:14,26.125,27.0,26.125,26.5,27.125,27.375,26.875,26.875,26.625,26.6875,26.125,26.812,26.125,26.812,26.5,27.375,26.5,27.375,26.3125,27.0935
